,Data,QuantidadePerdida,SetorProduto,CategoriaProduto,NomeProdutoCompleto,PrecoVenda,Fornecedor,PrecoCusto,TipoPerda,Produto,AcaoReducaoPerda,CustoReducaoPerda,Loja,Ano,NomeMes,NomeDia,ValorTotalPerdaVenda,ValorTotalPerdaCusto
0,2024-01-10,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,janeiro,quarta-feira,104.85000000000001,60.0
1,2024-11-26,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,novembro,terça-feira,209.70000000000002,120.0
2,2024-12-22,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,dezembro,domingo,209.70000000000002,120.0
3,2024-09-04,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,setembro,quarta-feira,419.40000000000003,240.0
4,2024-08-08,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,agosto,quinta-feira,209.70000000000002,120.0
5,2024-06-14,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,junho,sexta-feira,314.55,180.0
6,2024-03-29,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,março,sexta-feira,524.25,300.0
7,2024-06-26,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,junho,quarta-feira,104.85000000000001,60.0
8,2024-05-23,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,maio,quinta-feira,314.55,180.0
9,2024-01-20,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,janeiro,sábado,524.25,300.0
10,2024-12-05,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,dezembro,quinta-feira,209.70000000000002,120.0
